Product Name,Brand,Picture,Color,品番,Category,category2,Season,残量,購入日,Boards,Notes,値段
メロウカットソー,モカ,,Beige,,トップス,長袖,,,,,,
シャツ,ジムフレックス,,Green,,トップス,長袖,,,,,,
ニットカーディガン,？,,Gray,,トップス,長袖,,,,,,
カットソー,オーシバル,,Navy Border,,トップス,長袖,,,,,,
コットンハイネック,,,Black,,トップス,長袖,,,,,,
薄手ニット,ビームス,,Yellow Green,,トップス,長袖,,,,,,
クルーネックニット,モリスアンドサンズ,,Red,,トップス,長袖,,,,,,
薄手トップス,SUNFLOWER EIGHT,81595237b_21_d_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/mT6IEce2-E5703yKaqlJAQ/yTUYgFwFy0tAo1w9qhnig7gz5R22X-gjhJDielb30FJcMESOq-Te2jrDiga0vTJ1rw8J7V0-TuAffnIfp8T_uH8IngvFvYIjpLhBNMxk58YCzn2t0oo7ttqgsqZ31lHA9aVTb6NKKK8A05cBgkyVRNhdeM4_BwlRzwqLPDiRQHs/6T02IIkE9XYJHUzPh8KjcBPAeuxL0A9_LopX3_IWcoc),yelloegreen,,トップス,長袖,"春,秋",,,,,
スケスケ,KBF,,Beige,,トップス,長袖,,,,,,
厚手ニット,ルトリコチュール,,White,,トップス,長袖,,,,,,
ニットカーディガン,ダントン,,Yellow,,トップス,長袖,,,,,,
カットソー,シンプリサイト,,Black Border,,トップス,長袖,,,,,,
シャツ,シンゾーン,,Pink,,トップス,長袖,,,,,,
2トーンシアー ルーズスリーブ ハイネックニット,MONO-MART,97735189b_b_10_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/YeZTzL3VO4lw7lBjK2ST4Q/qK9jMdeCQAuXWKpwFJDboL6tpEkcg1Mx2WuXgqqwNHHnRxVGxmKkfU4S_DQzqTgbyuKNJr8DmT1Fn6MB1VY4KVEY4RwG6A5D6XtjhRV7twxxaEdMPo6tRXUs0RqZomLA0_yrfEIyzU7TCMQEGn1peV25ulfpP9E7_fN27IEiKjk/pYFOheHkLJpxylf24SEOFJs_d4K-MdkwOXDuSSOn8Qw),Black,,トップス,長袖,"春,秋",,2026/3/1,,,
チノパン,ニート,,Beige,,ボトムス,パンツ,,,,,,
スラックス,ユニクロ,,Black,,ボトムス,パンツ,,,,,,
ワイドパンツ,？,,Brown,,ボトムス,パンツ,,,,,,
コーデュロイ,無印,,Black,,ボトムス,パンツ,,,,,,
スラックス,シンゾーン,21AMSPA01-85.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/T5nV1QV_gamZSHMBHHBAbw/mf0nmiWgTWdbOcugcKCaGNLg3eU9yTRnSAzy33IMcc3tEcVCADAEAXhF1xRfVCT7XzWz2F4nYsaGMl3Tko_R1bCLeJacVce4zIHpGVbzfVZS_DsLTgpN3PniaY4glNfjJIhIcS5qjC1rnMp9bMMISg/oQCwm302csebg_RB25FfDi64NHqGwQ3MuVr7X7JZpjs),Navy,,ボトムス,パンツ,,,,,,
スラックス,シンゾーン,21AMSPA01-06.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/FM60dCmMNuul8Y_w6yGUaA/ku4X135q01eISk5ZW1l8qFeXhtA6ljame9xIBxTl1oGOR3mrSq556MJwBzJbfoyLoh_Qq24g3dkQ1--bWTnUdb_ObpW1pDpm0ZAVsgXtfff9MNKB7NXvkkQIb12JArGwcDlPPZ9uwOclU9a_Wrj5dg/tsOpTQhGFIU-A3xRKDlTtpj2XUY3qsCvEIwT1EW3P8s),Gray,,ボトムス,パンツ,,,,,,
スラックス,ユニクロ,,Black,,ボトムス,パンツ,,,,,,
チェックスカート,ニューヨーカー,,オレンジ,,ボトムス,スカート,,,,,,
オーバースカート,ビームス,,Navy,,ボトムス,スカート,,,,,,
チェックスカート,オニールオブダブリン,,グリーン,,ボトムス,スカート,,,,,,
麻スカート,?,,Black,,ボトムス,スカート,,,,,,
ナイロンパーカ,モンベル,,Black,,アウター,,,,,,,
トレンチコート,ユナイテッドアローズ,,Beige,,アウター,,,,,,,
ナイロンロングコート,まりこさん,,Black,,アウター,,,,,,,
オイルジャケット,バブアー,,カーキ,,アウター,,,,,,,
2way ダイヤキルトノーカラージャケット/インナーブルゾン,BONLECILL ,75723956b_8_d_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/hhYo7KA2mgBnG2Hel8t6Eg/j4rjh85P43De3LR9_B9xFHKtyb6Kdctn62K_w53x0pmotbrzl-jHo81CNtbJBMLWRHkaXSRLwKrBSghW7cyj1ym4t1lIS_Vp5sW1FPfAwg84BKaZ2bv7PWJued2Kueayuj_9RikGsptnjnwCpgSZ5V1oLf_CaC9Cud1c58KZHjk/sE01HGxDL4lDPXmBEhZZP6HHyb3DYzFfRV0A3PORhiQ),Black,,アウター,長袖,,,2024/10/17,,,
2way ダイヤキルトノーカラージャケット/インナーブルゾン,BONLECILL ,75723956b_17_d_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/y5Ya4YgM6Ak_O20RPtI9ow/MoJLoeaW9a6MJjDvbzKcJ90_Aj7EH3TbD4rrcXzlGaqD230ddxvBsYuTw937RZj_xFZE-WjOXS8fdQy7mQ4QuRkrbh53fqga25S3V5WDrCXvb05kYy01_jtskvvg9RAbIS5rzA8O1CGa2hhDnu39_0qs5GNPQRzA1bF4gx7YpFE/0GR64IIwxo-o_-lWFIXBwuf9575cyhEWEWyl_QE3B20),,ブラウン,アウター,長袖,,,2026/3/1,,,
パジャマ薄手,無印,,紺チェック,,部屋着,,,,,,,
パジャマ厚め,無印,,紺,,部屋着,,,,,,,
パジャマ薄手,無印,,Beige,,部屋着,,,,,,,
トレーナー,空気階段,,Black,,部屋着,長袖,,,,,,
トレーナー,大学,,黄色,,部屋着,長袖,,,,,,
トレーナー,ジーユー,,オレンジ,,部屋着,長袖,,,,,,
アイプランナー R,サナエクセル,79671618b_23253_d_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/Bv-Xf4XRMt87sdZr0YX9ng/l0RB76b3xEJ4LcMMxiPNISReroysHmKQziydqUU64_UkgZo8LIEkGNB0LhTopdUt_L-p_J0zt115pKUcM3Lg_Y8zn6dm2hvJPO8Uh8JE23_sswuqg4VmvbhtYUoVhun5IlxjT-acfgA2o6HaEvNhvw/tDLApVWHqLdhiRabsly0cQpa218qzL8-vTWWDwf4SyI),,R05シナモンフィグ,ポイントメイク,,,,2024/11/7,,,
アイプランナー R,サナエクセル,79671618b_23249_d_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/-jnH92GanmNDg-t3M92ESQ/2nfZi3s8cAwCzJkBg5Uy7XNE8sKKPxhpjq7Aa3jlsUXXVjdpmc8_NtRcbhTA3ElMKhj3C2XfOFXX37lTz_GbGqmZBMFkKiQvOYLEi1lJE9npZK7yWQzPO0OHxU5qU3Oe01dHwewK1fWfNmOQeOpZnw/VTQsUDwsBHFbUEXhBUAZf4Tpx0x_sioxPRBKEhYq1Kw),,R01バニラムスク,ポイントメイク,,,,2024/11/7,,,
,ネイミング,,,#01,ポイントメイク,アイシャドウ,,5,,,,
,ネイミング,,,04セイリーン,ポイントメイク,アイシャドウ,,5,,,,
,ネイミング,,,03ラディアント,ポイントメイク,アイシャドウ,,8,,,,
,ラネージュ,,,,ポイントメイク,リップケア,,3,,,,
,モアリップ,,,,ポイントメイク,リップケア,,7,,,,
,ダイソー,,,,ポイントメイク,リップケア,,7,,,,
,ニベア,,,,ポイントメイク,リップケア,,8,,,,
,バーツビーツ,,,,ポイントメイク,リップケア,,3,,,,
,ニベア,,,,ポイントメイク,リップケア,,8,,,,
リップモンスター,KATE,,,,ポイントメイク,リップ,,5,,,,
リップモンスター,KATE,,,115:00AM,ポイントメイク,リップ,,6,,,,
,MAC,,,インパルシブ,ポイントメイク,リップ,,4,,,,
,ハートパーセント,,,#01,ポイントメイク,リップ,,10,,,,
リップモンスター,KATE,,,,ポイントメイク,リップ,,5,,,,
,MAC,,,ポッシュピット,ポイントメイク,リップ,,8,,,,
スフレマット,KATE,,,M07,ポイントメイク,リップ,,7,,,,
,ヒンス,,,02ロウローズ,ポイントメイク,リップ,,3,,,,
,MAC,,,ハグミー,ポイントメイク,リップ,,8,,,,
リップモンスター,KATE,,,1096:59PM,ポイントメイク,リップ,,5,,,,
,ヒンス,,,11チャイ,ポイントメイク,リップ,,3,,,,
,ハートパーセント,,,#20,ポイントメイク,リップペンシル,,10,,,,
,ハートパーセント,,,#06,ポイントメイク,リップペンシル,,5,,,,
カバーパーフェクションコンシーラーペンシル,ザセム,,,#20,ポイントメイク,リップペンシル,,10,,,,
,ネイミング,,,トースト,ポイントメイク,チーク,,4,,,,
チークブラッシュ,セザンヌ,,,02シナモンブラウン,ポイントメイク,チーク,,10,,,,
フラッフィーウェアブラッシャー,アバウトトーン,,,09ドーリッシュミルキーコーラル,ポイントメイク,チーク,,10,,,,
ラスティングカールマスカラ,セザンヌ,,,#01,ポイントメイク,マスカラ,,2,,,,
,ピメル,,,,ポイントメイク,マスカラ,,10,,,,
スキンプロテクトベース,プリマヴィスタ,,,ベージュ,ベースメイク,下地,,2,,,,
プロテクティングファンデーションプライマー,ポール&ジョー,,,#01,ベースメイク,下地,,3,,,,
シカトーンアップ,エスポア,,,20ml,ベースメイク,下地,,7,,,,
エアリーステイBBティント,ファシオ,,,,ベースメイク,BB,,2,,,,
,HERA,,,23N1,ベースメイク,ファンデーション,,2,,,,
